Date,Year,Month,Open,High,Low,Close*,Adj Close**, Volume ,Returns
25/05/2017,2017,May,2409.54,2418.71,2408.01,2415.07,2415.07," 3,535,390,000 ",0.002289789
26/05/2017,2017,May,2414.5,2416.68,2412.2,2415.82,2415.82," 2,805,040,000 ",0.000546398
30/05/2017,2017,May,2411.67,2415.26,2409.43,2412.91,2412.91," 3,203,160,000 ",0.000513902
31/05/2017,2017,May,2415.63,2415.99,2403.59,2411.8,2411.8," 4,516,110,000 ",-0.001588026
01/06/2017,2017,Jun,2415.65,2430.06,2413.54,2430.06,2430.06," 3,857,140,000 ",0.005929895
02/06/2017,2017,Jun,2431.28,2440.23,2427.71,2439.07,2439.07," 3,461,680,000 ",0.00319384
05/06/2017,2017,Jun,2437.83,2439.55,2434.32,2436.1,2436.1," 2,912,600,000 ",-0.000710151
06/06/2017,2017,Jun,2431.92,2436.21,2428.12,2429.33,2429.33," 3,357,840,000 ",-0.001066138
07/06/2017,2017,Jun,2432.03,2435.28,2424.75,2433.14,2433.14," 3,572,300,000 ",0.000456201
08/06/2017,2017,Jun,2434.27,2439.27,2427.94,2433.79,2433.79," 3,728,860,000 ",-0.000197223
09/06/2017,2017,Jun,2436.39,2446.2,2415.7,2431.77,2431.77," 4,027,340,000 ",-0.001899851
12/06/2017,2017,Jun,2425.88,2430.38,2419.97,2429.39,2429.39," 4,027,750,000 ",0.001444807
13/06/2017,2017,Jun,2434.15,2441.49,2431.28,2440.35,2440.35," 3,275,500,000 ",0.002540619
14/06/2017,2017,Jun,2443.75,2443.75,2428.34,2437.92,2437.92," 3,555,590,000 ",-0.002391383
15/06/2017,2017,Jun,2424.14,2433.95,2418.53,2432.46,2432.46," 3,353,050,000 ",0.003420406
16/06/2017,2017,Jun,2431.24,2433.15,2422.88,2433.15,2433.15," 5,284,720,000 ",0.000784991
19/06/2017,2017,Jun,2442.55,2453.82,2441.79,2453.46,2453.46," 3,264,700,000 ",0.004446781
20/06/2017,2017,Jun,2450.66,2450.66,2436.6,2437.03,2437.03," 3,416,510,000 ",-0.005592873
21/06/2017,2017,Jun,2439.31,2442.23,2430.74,2435.61,2435.61," 3,594,820,000 ",-0.001519127
22/06/2017,2017,Jun,2437.4,2441.62,2433.27,2434.5,2434.5," 3,468,210,000 ",-0.00119121
